Walk #0:
Target Distance: 50, Step Size: 2
110: (x, y) = (13.5487, -11.0143)
111: (x, y) = (15.2458, -9.95609)
112: (x, y) = (15.8638, -8.05397)
113: (x, y) = (17.3241, -6.68744)
114: (x, y) = (18.6841, -5.22102)
115: (x, y) = (16.6936, -5.41545)
116: (x, y) = (18.6281, -4.90774)
117: (x, y) = (20.3527, -5.92047)
118: (x, y) = (19.3323, -4.20036)
119: (x, y) = (17.3934, -4.69093)
120: (x, y) = (15.6599, -3.6935)
121: (x, y) = (13.8164, -4.46912)
122: (x, y) = (12.6915, -2.81546)
123: (x, y) = (11.1381, -4.07528)
124: (x, y) = (12.5492, -2.65792)
125: (x, y) = (14.5266, -2.35817)
126: (x, y) = (14.1832, -4.32847)
127: (x, y) = (15.9906, -5.18478)
128: (x, y) = (16.7087, -3.31814)
129: (x, y) = (15.1225, -2.10005)
130: (x, y) = (17.0273, -2.70962)
131: (x, y) = (18.6454, -3.88516)
132: (x, y) = (18.0273, -1.98305)
133: (x, y) = (16.3887, -3.12981)
134: (x, y) = (18.2253, -2.33791)
135: (x, y) = (20.1803, -2.75947)
136: (x, y) = (18.4557, -3.77225)
137: (x, y) = (18.5, -5.77176)
138: (x, y) = (18.1915, -7.74784)
139: (x, y) = (17.0088, -6.13503)
140: (x, y) = (18.2754, -4.58725)
141: (x, y) = (17.9146, -2.62008)
142: (x, y) = (16.8044, -4.28366)
143: (x, y) = (18.5721, -3.34817)
144: (x, y) = (16.6469, -2.80636)
145: (x, y) = (18.6187, -2.47165)
146: (x, y) = (16.65, -2.8238)
147: (x, y) = (14.9528, -1.76563)
148: (x, y) = (12.9641, -1.55366)
149: (x, y) = (11.1963, -0.618221)
150: (x, y) = (9.39657, 0.254054)
151: (x, y) = (10.5505, 1.88757)
152: (x, y) = (12.0583, 3.20155)
153: (x, y) = (13.6004, 4.47507)
154: (x, y) = (14.6959, 6.14841)
155: (x, y) = (15.5442, 4.33726)
156: (x, y) = (13.8955, 5.46942)
157: (x, y) = (14.6792, 7.30948)
158: (x, y) = (16.6729, 7.15038)
159: (x, y) = (18.5363, 7.87678)
160: (x, y) = (16.5645, 8.21143)
161: (x, y) = (14.7076, 7.46856)
162: (x, y) = (12.7731, 7.97621)
163: (x, y) = (14.3375, 9.22224)
164: (x, y) = (12.7406, 8.01819)
165: (x, y) = (12.9437, 10.0078)
166: (x, y) = (11.0005, 10.4812)
167: (x, y) = (9.31287, 9.40797)
168: (x, y) = (7.3261, 9.17834)
169: (x, y) = (9.2734, 8.72223)
170: (x, y) = (7.37402, 9.34863)
171: (x, y) = (8.64066, 10.8964)
172: (x, y) = (6.64348, 11.0025)
173: (x, y) = (5.48947, 12.636)
174: (x, y) = (7.3529, 13.3624)
175: (x, y) = (8.32727, 11.6158)
176: (x, y) = (6.3426, 11.863)
177: (x, y) = (6.22765, 9.86626)
178: (x, y) = (4.59926, 11.0274)
179: (x, y) = (6.54656, 10.5713)
180: (x, y) = (8.03086, 11.9118)
181: (x, y) = (9.22783, 10.3095)
182: (x, y) = (11.2166, 10.5216)
183: (x, y) = (9.34678, 9.81168)
184: (x, y) = (8.02619, 8.30967)
185: (x, y) = (8.1412, 6.31298)
186: (x, y) = (7.81522, 8.28623)
187: (x, y) = (6.87197, 6.52263)
188: (x, y) = (8.72224, 7.2819)
189: (x, y) = (8.0207, 5.40898)
190: (x, y) = (9.05629, 3.69797)
191: (x, y) = (8.62602, 5.65114)
192: (x, y) = (9.66161, 3.94013)
193: (x, y) = (11.5868, 4.482)
194: (x, y) = (12.5766, 6.21993)
195: (x, y) = (10.8889, 5.14674)
196: (x, y) = (12.8636, 4.82955)
197: (x, y) = (10.8768, 4.59992)
198: (x, y) = (9.33463, 5.8734)
199: (x, y) = (9.21969, 3.8767)
200: (x, y) = (11.0831, 4.6031)
201: (x, y) = (11.7347, 6.49399)
202: (x, y) = (10.4274, 4.98039)
203: (x, y) = (8.69385, 5.97781)
204: (x, y) = (7.99231, 4.10489)
205: (x, y) = (7.12796, 5.90847)
206: (x, y) = (5.25818, 5.19859)
207: (x, y) = (5.63644, 3.23468)
208: (x, y) = (5.69832, 5.23373)
209: (x, y) = (7.19448, 3.9065)
210: (x, y) = (9.1567, 3.51962)
211: (x, y) = (8.42212, 1.6594)
212: (x, y) = (6.45032, 1.99406)
213: (x, y) = (4.70805, 1.01196)
214: (x, y) = (3.06948, -0.134803)
215: (x, y) = (5.02072, 0.304106)
216: (x, y) = (5.85296, 2.12273)
217: (x, y) = (4.27757, 0.890598)
218: (x, y) = (4.91242, -1.00597)
219: (x, y) = (2.94685, -0.636462)
220: (x, y) = (2.19578, 1.21715)
221: (x, y) = (3.7602, 2.46318)
222: (x, y) = (2.02667, 3.4606)
223: (x, y) = (3.09239, 1.76819)
224: (x, y) = (3.90855, 3.59408)
225: (x, y) = (2.35522, 2.33426)
226: (x, y) = (2.55839, 4.32392)
227: (x, y) = (0.842782, 5.35187)
228: (x, y) = (1.22104, 3.38797)
229: (x, y) = (-0.538336, 2.43687)
230: (x, y) = (1.30517, 1.6613)
231: (x, y) = (-0.688491, 1.50215)
232: (x, y) = (-2.68067, 1.67888)
233: (x, y) = (-2.91909, 3.66462)
234: (x, y) = (-4.89089, 3.99927)
235: (x, y) = (-5.97155, 5.68218)
236: (x, y) = (-5.22053, 7.53582)
237: (x, y) = (-7.20051, 7.81806)
238: (x, y) = (-7.66529, 9.76331)
239: (x, y) = (-5.79549, 9.05349)
240: (x, y) = (-6.96386, 7.43024)
241: (x, y) = (-7.2723, 5.45417)
242: (x, y) = (-9.22356, 5.89302)
243: (x, y) = (-10.9017, 4.80498)
244: (x, y) = (-11.469, 2.88711)
245: (x, y) = (-9.70956, 1.93607)
246: (x, y) = (-7.76226, 1.47996)
247: (x, y) = (-6.40226, 2.94638)
248: (x, y) = (-7.45296, 4.64816)
249: (x, y) = (-7.77894, 6.62142)
250: (x, y) = (-9.3434, 7.86739)
251: (x, y) = (-7.4999, 7.09183)
252: (x, y) = (-9.49207, 7.26857)
253: (x, y) = (-8.26693, 5.68774)
254: (x, y) = (-7.04178, 4.10691)
255: (x, y) = (-8.71026, 5.20971)
256: (x, y) = (-6.73847, 5.54442)
257: (x, y) = (-7.74356, 3.81532)
258: (x, y) = (-9.15466, 5.23264)
259: (x, y) = (-7.3787, 4.31288)
260: (x, y) = (-8.94316, 5.55886)
261: (x, y) = (-7.60933, 7.04913)
262: (x, y) = (-6.66602, 5.28556)
263: (x, y) = (-8.60493, 4.795)
264: (x, y) = (-9.25655, 6.68587)
265: (x, y) = (-10.9722, 7.71382)
266: (x, y) = (-12.9521, 7.99606)
267: (x, y) = (-12.2838, 6.11103)
268: (x, y) = (-11.6996, 8.0238)
269: (x, y) = (-12.2158, 6.09157)
270: (x, y) = (-11.3996, 7.91746)
271: (x, y) = (-11.0214, 5.95355)
272: (x, y) = (-12.68, 4.83598)
273: (x, y) = (-12.1296, 2.9132)
274: (x, y) = (-13.6604, 1.62608)
275: (x, y) = (-12.9258, -0.234114)
276: (x, y) = (-13.0053, -2.23253)
277: (x, y) = (-13.5387, -0.304955)
278: (x, y) = (-15.5386, -0.322658)
279: (x, y) = (-14.2048, 1.16761)
280: (x, y) = (-15.3297, 2.82127)
281: (x, y) = (-16.6236, 4.34634)
282: (x, y) = (-16.6678, 2.34683)
283: (x, y) = (-18.3554, 1.27364)
284: (x, y) = (-19.9088, 0.0138129)
285: (x, y) = (-17.9341, -0.303373)
286: (x, y) = (-15.9685, 0.0661906)
287: (x, y) = (-15.3337, -1.83037)
288: (x, y) = (-13.9101, -3.23515)
289: (x, y) = (-15.91, -3.25285)
290: (x, y) = (-14.8593, -1.55104)
291: (x, y) = (-14.4118, -3.50033)
292: (x, y) = (-12.4181, -3.65942)
293: (x, y) = (-14.3654, -4.11559)
294: (x, y) = (-12.8693, -5.44281)
295: (x, y) = (-11.2307, -6.58952)
296: (x, y) = (-9.48837, -7.57157)
297: (x, y) = (-7.62494, -6.84517)
298: (x, y) = (-6.11714, -5.53119)
299: (x, y) = (-5.80863, -7.50726)
300: (x, y) = (-5.37842, -5.55408)
301: (x, y) = (-3.44394, -5.04637)
302: (x, y) = (-2.1367, -3.53273)
303: (x, y) = (-4.11138, -3.84997)
304: (x, y) = (-5.83598, -4.86275)
305: (x, y) = (-6.97543, -6.50642)
306: (x, y) = (-7.10811, -4.51083)
307: (x, y) = (-5.52187, -3.29269)
308: (x, y) = (-4.35345, -4.9159)
309: (x, y) = (-6.35275, -4.969)
310: (x, y) = (-5.63466, -3.10236)
311: (x, y) = (-7.59687, -3.48931)
312: (x, y) = (-6.35783, -1.91935)
313: (x, y) = (-4.40276, -2.34091)
314: (x, y) = (-6.0999, -1.28275)
315: (x, y) = (-4.18976, -0.690008)
316: (x, y) = (-5.9817, -1.57823)
317: (x, y) = (-7.10661, 0.0754239)
318: (x, y) = (-5.99638, -1.58813)
319: (x, y) = (-6.95526, 0.167025)
320: (x, y) = (-8.83731, -0.509642)
321: (x, y) = (-7.02242, 0.330692)
322: (x, y) = (-6.99592, 2.33052)
323: (x, y) = (-7.40883, 0.373604)
324: (x, y) = (-7.15284, -1.60995)
325: (x, y) = (-8.27775, 0.0437112)
326: (x, y) = (-10.1771, 0.670111)
327: (x, y) = (-8.7047, -0.683388)
328: (x, y) = (-10.4556, 0.283195)
329: (x, y) = (-11.5805, 1.93685)
330: (x, y) = (-13.3803, 2.80913)
331: (x, y) = (-14.8646, 4.14954)
332: (x, y) = (-16.8234, 4.55378)
333: (x, y) = (-18.7437, 3.99489)
334: (x, y) = (-20.2041, 5.36137)
335: (x, y) = (-20.1068, 7.35901)
336: (x, y) = (-22.0619, 6.93738)
337: (x, y) = (-22.78, 8.804)
338: (x, y) = (-21.6698, 7.14045)
339: (x, y) = (-20.6954, 5.39386)
340: (x, y) = (-18.7266, 5.04177)
341: (x, y) = (-20.4143, 3.96857)
342: (x, y) = (-22.4115, 4.07468)
343: (x, y) = (-21.9468, 6.01994)
344: (x, y) = (-23.8166, 5.31006)
345: (x, y) = (-21.8419, 4.99288)
346: (x, y) = (-22.6902, 3.18169)
347: (x, y) = (-20.7102, 2.89951)
348: (x, y) = (-22.4696, 1.94841)
349: (x, y) = (-23.7498, 0.411904)
350: (x, y) = (-25.0704, -1.09011)
351: (x, y) = (-23.598, -2.44361)
352: (x, y) = (-24.6487, -0.741835)
353: (x, y) = (-25.2835, -2.63842)
354: (x, y) = (-27.1883, -3.24804)
355: (x, y) = (-25.3314, -3.99085)
356: (x, y) = (-24.7641, -5.9087)
357: (x, y) = (-25.02, -7.89225)
358: (x, y) = (-26.7356, -6.8643)
359: (x, y) = (-24.7356, -6.8643)
360: (x, y) = (-23.3886, -8.34266)
361: (x, y) = (-23.8877, -6.40594)
362: (x, y) = (-23.8789, -8.40592)
363: (x, y) = (-22.2926, -7.18779)
364: (x, y) = (-20.6049, -8.26093)
365: (x, y) = (-22.2734, -7.15813)
366: (x, y) = (-22.6516, -9.12205)
367: (x, y) = (-24.2486, -10.3261)
368: (x, y) = (-22.2549, -10.4852)
369: (x, y) = (-20.5485, -11.5283)
370: (x, y) = (-19.1249, -12.9331)
371: (x, y) = (-19.8264, -14.806)
372: (x, y) = (-19.7999, -12.8062)
373: (x, y) = (-19.3179, -14.7472)
374: (x, y) = (-21.3179, -14.7473)
375: (x, y) = (-19.3492, -15.0994)
376: (x, y) = (-17.8298, -13.7988)
377: (x, y) = (-17.9625, -11.8032)
378: (x, y) = (-19.5379, -13.0353)
379: (x, y) = (-21.4724, -12.5276)
380: (x, y) = (-21.8853, -14.4846)
381: (x, y) = (-23.2711, -13.0425)
382: (x, y) = (-21.8229, -14.4218)
383: (x, y) = (-19.8232, -14.3864)
384: (x, y) = (-19.4972, -12.4132)
385: (x, y) = (-20.0476, -14.336)
386: (x, y) = (-21.9775, -14.8608)
387: (x, y) = (-21.9863, -16.8607)
388: (x, y) = (-23.9336, -17.3169)
389: (x, y) = (-25.8635, -17.8417)
390: (x, y) = (-24.4777, -16.3996)
391: (x, y) = (-23.1839, -14.8745)
392: (x, y) = (-22.3355, -16.6856)
393: (x, y) = (-21.9226, -18.6425)
394: (x, y) = (-22.5237, -20.5501)
395: (x, y) = (-23.2252, -22.423)
396: (x, y) = (-22.115, -24.0865)
397: (x, y) = (-23.6904, -25.3187)
398: (x, y) = (-24.1723, -27.2597)
399: (x, y) = (-25.9946, -26.4355)
400: (x, y) = (-27.4181, -27.8403)
401: (x, y) = (-25.4559, -28.2272)
402: (x, y) = (-23.6485, -29.0835)
403: (x, y) = (-24.096, -31.0328)
404: (x, y) = (-22.1571, -31.5233)
405: (x, y) = (-20.8232, -30.033)
406: (x, y) = (-22.6527, -30.8412)
407: (x, y) = (-23.1689, -32.7734)
408: (x, y) = (-23.3016, -30.7778)
409: (x, y) = (-25.0935, -31.666)
410: (x, y) = (-23.128, -31.2965)
411: (x, y) = (-24.5391, -29.8792)
412: (x, y) = (-24.0228, -31.8114)
413: (x, y) = (-23.3047, -29.9447)
414: (x, y) = (-22.1363, -31.5679)
415: (x, y) = (-24.111, -31.8852)
416: (x, y) = (-25.3913, -33.4217)
417: (x, y) = (-24.4479, -35.1853)
418: (x, y) = (-25.4223, -36.9319)
419: (x, y) = (-26.4121, -35.194)
420: (x, y) = (-26.9112, -33.2573)
421: (x, y) = (-28.3956, -31.9169)
422: (x, y) = (-27.9826, -33.8738)
423: (x, y) = (-26.3856, -35.0778)
424: (x, y) = (-28.3806, -34.9363)
425: (x, y) = (-29.1968, -33.1105)
426: (x, y) = (-30.7162, -31.8099)
427: (x, y) = (-28.8939, -30.9856)
428: (x, y) = (-30.119, -32.5665)
429: (x, y) = (-32.0878, -32.9186)
430: (x, y) = (-30.3814, -33.9617)
431: (x, y) = (-29.0343, -35.4401)
432: (x, y) = (-28.014, -33.7199)
433: (x, y) = (-29.3869, -35.1743)
434: (x, y) = (-27.8791, -33.8603)
435: (x, y) = (-29.3395, -32.4938)
436: (x, y) = (-27.9538, -31.0517)
437: (x, y) = (-26.6199, -29.5614)
438: (x, y) = (-25.4951, -27.9077)
439: (x, y) = (-23.9989, -29.235)
440: (x, y) = (-25.8284, -30.0431)
441: (x, y) = (-26.2413, -32)
442: (x, y) = (-25.8283, -33.9569)
443: (x, y) = (-23.8536, -34.2741)
444: (x, y) = (-25.3497, -35.6014)
445: (x, y) = (-26.4599, -37.2649)
446: (x, y) = (-28.1185, -38.3825)
447: (x, y) = (-29.2434, -36.7289)
448: (x, y) = (-31.2057, -37.1158)
449: (x, y) = (-30.3096, -35.3278)
450: (x, y) = (-32.1318, -34.5035)
451: (x, y) = (-30.7718, -33.0371)
452: (x, y) = (-28.7719, -33.0548)
453: (x, y) = (-30.3689, -34.2588)
454: (x, y) = (-28.5691, -33.3865)
455: (x, y) = (-27.5794, -31.6486)
456: (x, y) = (-25.6362, -31.1752)
457: (x, y) = (-23.7793, -31.918)
458: (x, y) = (-24.6116, -30.0994)
459: (x, y) = (-25.0763, -28.1541)
460: (x, y) = (-23.5119, -26.9081)
461: (x, y) = (-21.8733, -28.0548)
462: (x, y) = (-20.0511, -27.2305)
463: (x, y) = (-19.6903, -25.2633)
464: (x, y) = (-21.6334, -24.79)
465: (x, y) = (-20.2349, -26.2198)
466: (x, y) = (-19.8567, -28.1837)
467: (x, y) = (-19.3063, -30.1065)
468: (x, y) = (-21.281, -30.4237)
469: (x, y) = (-22.5613, -31.9602)
470: (x, y) = (-23.7153, -30.3267)
471: (x, y) = (-22.2075, -29.0128)
472: (x, y) = (-20.5104, -27.9545)
473: (x, y) = (-21.4065, -26.1665)
474: (x, y) = (-23.3952, -25.9546)
475: (x, y) = (-23.5632, -23.9616)
476: (x, y) = (-23.0985, -22.0164)
477: (x, y) = (-24.5709, -23.3699)
478: (x, y) = (-23.0175, -24.6297)
479: (x, y) = (-23.4131, -22.6692)
480: (x, y) = (-22.5809, -20.8506)
481: (x, y) = (-23.9667, -19.4085)
482: (x, y) = (-24.6183, -17.5177)
483: (x, y) = (-22.8034, -16.6773)
484: (x, y) = (-24.7136, -16.0846)
485: (x, y) = (-25.481, -17.9316)
486: (x, y) = (-25.3131, -15.9386)
487: (x, y) = (-27.0971, -15.0346)
488: (x, y) = (-27.4753, -16.9985)
489: (x, y) = (-29.464, -16.7866)
490: (x, y) = (-30.3759, -18.5666)
491: (x, y) = (-28.4104, -18.197)
492: (x, y) = (-29.338, -16.4252)
493: (x, y) = (-31.3127, -16.7424)
494: (x, y) = (-33.0721, -17.6935)
495: (x, y) = (-31.1619, -17.1008)
496: (x, y) = (-30.0517, -18.7643)
497: (x, y) = (-28.3094, -19.7464)
498: (x, y) = (-27.6914, -17.8442)
499: (x, y) = (-26.6558, -19.5552)
500: (x, y) = (-26.6116, -21.5548)
501: (x, y) = (-28.1194, -20.2408)
502: (x, y) = (-26.3045, -19.4005)
503: (x, y) = (-28.1548, -18.6413)
504: (x, y) = (-29.8233, -17.5385)
505: (x, y) = (-27.9295, -18.1817)
506: (x, y) = (-25.9745, -18.6032)
507: (x, y) = (-24.6538, -20.1052)
508: (x, y) = (-22.6542, -20.0698)
509: (x, y) = (-24.6366, -20.3346)
510: (x, y) = (-24.0862, -22.2573)
511: (x, y) = (-22.09, -22.3811)
512: (x, y) = (-20.0995, -22.5755)
513: (x, y) = (-21.1651, -24.2679)
514: (x, y) = (-19.3892, -25.1877)
515: (x, y) = (-21.3872, -25.2762)
516: (x, y) = (-19.4527, -24.7685)
517: (x, y) = (-17.4555, -24.6623)
518: (x, y) = (-19.124, -23.5595)
519: (x, y) = (-17.1466, -23.2597)
520: (x, y) = (-18.5948, -24.6391)
521: (x, y) = (-19.6152, -22.919)
522: (x, y) = (-21.6057, -23.1134)
523: (x, y) = (-23.5211, -23.6893)
524: (x, y) = (-25.2087, -24.7625)
525: (x, y) = (-26.6569, -26.1418)
526: (x, y) = (-28.2645, -24.952)
527: (x, y) = (-28.6948, -22.9989)
528: (x, y) = (-26.8582, -22.207)
529: (x, y) = (-25.6053, -23.7658)
530: (x, y) = (-27.6053, -23.7659)
531: (x, y) = (-29.6034, -23.8544)
532: (x, y) = (-29.1558, -25.8037)
533: (x, y) = (-27.7958, -24.3373)
534: (x, y) = (-29.3491, -25.5971)
535: (x, y) = (-27.3495, -25.5617)
536: (x, y) = (-25.4501, -24.9352)
537: (x, y) = (-26.362, -26.7152)
538: (x, y) = (-27.0801, -24.8486)
539: (x, y) = (-25.9847, -23.1753)
540: (x, y) = (-27.7921, -24.0316)
541: (x, y) = (-25.9223, -24.7415)
542: (x, y) = (-27.5507, -23.5803)
543: (x, y) = (-25.6513, -22.9538)
544: (x, y) = (-23.6564, -22.8123)
545: (x, y) = (-21.9499, -23.8554)
546: (x, y) = (-22.551, -25.7629)
547: (x, y) = (-24.5416, -25.9574)
548: (x, y) = (-26.0377, -27.2846)
549: (x, y) = (-24.0509, -27.5142)
550: (x, y) = (-22.6524, -28.944)
551: (x, y) = (-22.5905, -26.9449)
552: (x, y) = (-23.2755, -25.0659)
553: (x, y) = (-21.7001, -26.298)
554: (x, y) = (-21.1668, -24.3704)
555: (x, y) = (-20.0566, -26.0339)
556: (x, y) = (-18.6581, -27.4637)
557: (x, y) = (-17.0826, -28.6958)
558: (x, y) = (-18.89, -29.5521)
559: (x, y) = (-16.8907, -29.6052)
560: (x, y) = (-16.2058, -27.7261)
561: (x, y) = (-14.872, -26.2358)
562: (x, y) = (-12.942, -26.7606)
563: (x, y) = (-14.7989, -27.5035)
564: (x, y) = (-13.0481, -26.5368)
565: (x, y) = (-13.5472, -24.6001)
566: (x, y) = (-11.55, -24.4939)
567: (x, y) = (-13.3935, -25.2696)
568: (x, y) = (-14.4592, -26.962)
569: (x, y) = (-14.0462, -28.9189)
570: (x, y) = (-12.0989, -29.375)
571: (x, y) = (-10.9887, -31.0385)
572: (x, y) = (-11.4362, -32.9878)
573: (x, y) = (-13.4049, -33.34)
574: (x, y) = (-12.0711, -31.8497)
575: (x, y) = (-13.9591, -31.1898)
576: (x, y) = (-13.8265, -29.1942)
577: (x, y) = (-13.6585, -27.2013)
578: (x, y) = (-15.6098, -26.7624)
579: (x, y) = (-16.5841, -28.509)
580: (x, y) = (-15.1984, -27.0669)
581: (x, y) = (-13.1984, -27.0669)
582: (x, y) = (-11.2237, -27.3841)
583: (x, y) = (-11.5321, -29.3602)
584: (x, y) = (-10.3494, -27.7473)
585: (x, y) = (-10.3406, -29.7473)
586: (x, y) = (-11.8939, -31.0071)
587: (x, y) = (-13.2012, -32.5208)
588: (x, y) = (-14.5085, -34.0344)
589: (x, y) = (-13.1879, -35.5363)
590: (x, y) = (-14.6602, -36.8899)
591: (x, y) = (-15.8286, -38.5131)
592: (x, y) = (-13.8418, -38.7427)
593: (x, y) = (-12.1832, -39.8602)
594: (x, y) = (-11.3509, -38.0416)
595: (x, y) = (-13.2012, -37.2824)
596: (x, y) = (-12.4996, -39.1553)
597: (x, y) = (-11.0393, -37.7888)
598: (x, y) = (-9.24732, -38.6769)
599: (x, y) = (-11.0839, -37.8851)
600: (x, y) = (-10.916, -35.8921)
601: (x, y) = (-11.4151, -33.9554)
602: (x, y) = (-11.2648, -35.9498)
603: (x, y) = (-9.62616, -37.0965)
604: (x, y) = (-11.5022, -36.4032)
605: (x, y) = (-13.0776, -37.6354)
606: (x, y) = (-11.1782, -37.0089)
607: (x, y) = (-13.177, -36.9382)
608: (x, y) = (-11.3929, -36.0341)
609: (x, y) = (-11.1195, -34.0529)
610: (x, y) = (-9.24348, -33.3596)
611: (x, y) = (-10.5774, -31.8694)
612: (x, y) = (-10.1298, -33.8187)
613: (x, y) = (-11.6259, -35.1459)
614: (x, y) = (-10.1656, -33.7794)
615: (x, y) = (-8.61221, -35.0392)
616: (x, y) = (-10.2708, -36.1568)
617: (x, y) = (-9.51981, -34.3031)
618: (x, y) = (-9.22887, -32.3244)
619: (x, y) = (-7.35907, -33.0342)
620: (x, y) = (-5.61678, -34.0163)
621: (x, y) = (-3.65122, -33.6467)
622: (x, y) = (-5.32936, -34.7347)
623: (x, y) = (-6.89382, -33.4888)
624: (x, y) = (-8.49078, -34.6928)
625: (x, y) = (-6.49109, -34.6574)
626: (x, y) = (-5.90687, -32.7446)
627: (x, y) = (-6.78711, -34.5405)
628: (x, y) = (-5.21168, -35.7726)
629: (x, y) = (-6.4086, -37.3749)
630: (x, y) = (-4.4086, -37.3749)
631: (x, y) = (-2.43391, -37.6921)
632: (x, y) = (-3.23388, -39.5251)
633: (x, y) = (-3.17199, -37.5261)
634: (x, y) = (-2.6387, -35.5985)
635: (x, y) = (-4.31685, -36.6866)
636: (x, y) = (-4.53762, -38.6743)
637: (x, y) = (-3.45702, -36.9914)
638: (x, y) = (-4.68211, -38.5723)
639: (x, y) = (-2.95748, -39.585)
640: (x, y) = (-4.54375, -38.3669)
641: (x, y) = (-5.56415, -36.6468)
642: (x, y) = (-7.00012, -35.2547)
643: (x, y) = (-5.00514, -35.1132)
644: (x, y) = (-3.60663, -36.5429)
645: (x, y) = (-2.67903, -34.771)
646: (x, y) = (-0.680986, -34.8595)
